2.05	0.000	&thinsp;&thinsp;
4.169	2.050	やまびこ通信2018年4月号
2.563	6.219	No.125
4.715	8.782	2018年4月13日発行
2.744	13.497	3月活動報告SILENT<（カット1）>SILENT
1.197	16.241	9日
2.913	17.438	定例会／勉強会
1.562	20.351	16日
2.565	21.913	合同ボランティア会
1.594	24.478	18日
2.285	26.072	ユニバーサル部会
1.594	28.357	18日
2.491	29.951	バリアフリー映画会
1.711	32.442	23日
3.962	34.153	定例会／勉強会・役員会
1.711	38.115	23日
3.794	39.826	周年行事パネル作成委員会
2.631	43.620	4月活動予定SILENT<（カット2）>SILENT
1.079	46.251	8日
2.285	47.330	ユニバーサル部会
1.544	49.615	11日
2.821	51.159	周年行事全体会
1.525	53.980	13日
2.913	55.505	定例会／勉強会
1.115	58.418	20日
2.565	59.533	合同ボランティア会
1.721	62.098	27日
3.963	63.819	定例会／勉強会・役員会
5.045	67.782	※総会は5月11日の予定です。
4.312	72.827	録音図書（デイジー版CD）作成
2.278	77.139	みんなが笑顔になるために
2.147	79.417	55分
2.067	81.564	対面音訳
1.266	83.631	3月
1.959	84.897	16件
1.862	86.856	（今年度総計
2.469	88.718	165件）
1.315	91.187	今月も，
5.705	92.502	十条台句会会員の方の俳句をお楽しみください。
1.236	98.207	梅匂ふ
1.736	99.443	散歩の背中
1.809	101.179	伸びたよな
1.345	102.988	郷SILENT<&ensp;(きょう)&ensp;>SILENT
1.535	104.333	ここでおさらい！
2.959	105.868	デイジーって何？SILENT<（カット3）>SILENT
1.493	108.827	デイジーSILENT<DAISY>SILENTとは，
2.749	110.320	Digital&ensp;Accessible&ensp;Information&ensp;System
2.363	113.069	の略。
3.934	115.432	文字や画像を視覚で捉えることができない人が，
7.437	119.366	視覚以外の聴覚・触覚を通じて情報を獲得できるシステムです。
1.615	126.803	具体的には，
2.948	128.418	活字や画像を音声化することで，
3.63	131.366	利用者は聴覚として情報を得たり，
2.942	134.996	その活字等を点字化することで，
4.605	137.938	触覚を通じて情報を認識できるようになります
4.935	142.543	（点字化には専用の機械が必要）。
0.781	147.478	図、
1.971	148.259	3枚。
1.113	150.230	それぞれ、
6.38	151.343	視覚・聴覚・触覚を通じて情報を獲得する様子。
0.78	157.723	図、
2.313	158.503	終わり。
0.945	160.816	また，
3.335	161.761	デイジーは視覚障害に限らず，
4.606	165.096	身体の不自由によって本を開くことのできない人，
3.192	169.702	日本語特有の文字を読めない人など，
2.491	172.894	「読むことに支障がある人」に，
4.361	175.385	情報を提供することが可能です。
2.981	179.746	情報をデジタル化することによって，
3.728	182.727	以下のことが可能になります。
1.372	186.455	(1)
3.28	187.827	録音テープ等アナログデータに比べて，
5.141	191.107	コンパクトに多くの情報を収納できる。
1.123	196.248	(2)
3.952	197.371	ページ付加・章毎のタイトル記入等の編集
0.956	201.323	（これを，
2.247	202.279	デイジー編集という）
1.618	204.526	を行うことで，
1.771	206.144	機械を操作して，
5.194	207.915	今知りたい情報をすぐ得ることができる。
1.58	213.109	図。
4.701	214.689	デイジー編集された録音書籍を聞く様子。
0.78	219.390	図、
2.313	220.170	終わり。
4.043	222.483	デジタル化された図書（デイジー図書）には，
